"품목별(1)","품목별(2)",품목별(3),시점,수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)","콜크 및 나무",연료용 나무(나무찌꺼기 제외) 및 숯,2025.09,4,8306
"비식용원재료(연료제외)","콜크 및 나무",연료용 나무(나무찌꺼기 제외) 및 숯,2025.10,43,8145
"비식용원재료(연료제외)","콜크 및 나무",연료용 나무(나무찌꺼기 제외) 및 숯,2025.11,11,7982
"비식용원재료(연료제외)","콜크 및 나무",나무(칩상 또는 삭편상)및 나무찌꺼기,2025.09,3,64831
"비식용원재료(연료제외)","콜크 및 나무",나무(칩상 또는 삭편상)및 나무찌꺼기,2025.10,3,52335
"비식용원재료(연료제외)","콜크 및 나무",나무(칩상 또는 삭편상)및 나무찌꺼기,2025.11,0,45881
"비식용원재료(연료제외)","콜크 및 나무",원목,2025.09,3,17830
"비식용원재료(연료제외)","콜크 및 나무",원목,2025.10,57,16590
"비식용원재료(연료제외)","콜크 및 나무",원목,2025.11,-,16922
"비식용원재료(연료제외)","콜크 및 나무",간단히 가공한 나무 및 철도용 침목,2025.09,560,42905
"비식용원재료(연료제외)","콜크 및 나무",간단히 가공한 나무 및 철도용 침목,2025.10,333,35861
"비식용원재료(연료제외)","콜크 및 나무",간단히 가공한 나무 및 철도용 침목,2025.11,204,36757
"비식용원재료(연료제외)","펄프 및 폐지",소계,2025.09,10423,101494
"비식용원재료(연료제외)","펄프 및 폐지",소계,2025.10,8771,116053
"비식용원재료(연료제외)","펄프 및 폐지",소계,2025.11,8654,97252
"비식용원재료(연료제외)","펄프 및 폐지",펄프 및 폐지,2025.09,10423,101494
"비식용원재료(연료제외)","펄프 및 폐지",펄프 및 폐지,2025.10,8771,116053
"비식용원재료(연료제외)","펄프 및 폐지",펄프 및 폐지,2025.11,8654,97252
"비식용원재료(연료제외)","섬유 및 그 웨이스트",소계,2025.09,116284,32351
"비식용원재료(연료제외)","섬유 및 그 웨이스트",소계,2025.10,93411,25762
"비식용원재료(연료제외)","섬유 및 그 웨이스트",소계,2025.11,100878,29774
"비식용원재료(연료제외)","섬유 및 그 웨이스트",견,2025.09,-,205
"비식용원재료(연료제외)","섬유 및 그 웨이스트",견,2025.10,-,160
"비식용원재료(연료제외)","섬유 및 그 웨이스트",견,2025.11,-,604
"비식용원재료(연료제외)","섬유 및 그 웨이스트",면,2025.09,1183,7479
"비식용원재료(연료제외)","섬유 및 그 웨이스트",면,2025.10,1025,6776
"비식용원재료(연료제외)","섬유 및 그 웨이스트",면,2025.11,1168,8167
"비식용원재료(연료제외)","섬유 및 그 웨이스트",달리명시되지 않은 황마와 기타의 방직용 인피섬유,2025.09,-,247
